title,type,location,people,description
Building Energy,Energy,"Portland, OR, USA",251-500,"Building Energy is a global company operating as Global Integrated IPP in the Renewable Energy Industry, which produces electricity from renewable energy sources such as wind, solar, hydro and biomass. The company sells electricity under long-term revenue contracts that ensure sustainable value for customers, shareholders and communities. Building Energy maintains an active development program to discover new and innovative power-generation opportunities in order to increase its production base and create value for all shareholders and stakeholders."
Buoy Labs,Buildings,"Santa Cruz, CA, USA",11-50,"Mission: We believe that, some days, a long shower is the best remedy. We believe that pools and lawns and robust vegetable gardens can be part of responsible water use. We believe that quality of life and conservation are important, and that, with technology, those things aren't mutually exclusive. We believe that good data drives good decisions, and that people should have easy access to their data. We believe water problems are solvable. Welcome to Buoy.
Who is Buoy? Buoy"
Cadenza Innovation,Buildings,"Oxford, CT, USA",11-50,"Cadenza Innovation, based in Connecticut, was founded in 2012 by Dr. Christina Lampe-Onnerud, founder and former CEO of Boston-Power, and one of the pre-eminent battery experts in the world. Christina has once again assembled a world-class team, many of whom had key leadership roles at Boston-Power, with a ground-breaking battery pack architecture..."
Calera,Carbon Removal Tech,"Moss Landing, CA 95039, USA",51-100,Calera is focused on the conversion of CO2 into beneficial reuse products and more energy efficient production of industrial chemicals. The company aims to achieve environmental sustainability that also is economically sustainable.
Carbon Lighthouse,Buildings,"San Francisco, CA, USA",51-100,"Carbon Lighthouse is on a mission to stop climate change by making it easy and profitable for building owners to eliminate carbon emissions caused by wasted energy. The company's unique approach to Efficiency Production goes deep into buildings to uncover and continuously correct hidden inefficiencies that add up to meaningful financial value and carbon elimination that lasts. Since 2010, commercial real estate, educational, hospitality and industrial customers nationwide have chosen Carbon Lighthouse to enhance building comfort, increase net operating income and achieve their sustainability goals. We are a team that highly values life & safety, question asking, getting it done, integrity, and teamwork. We appreciate a fulfilling work-life balance, prize transparency and communication, hold ourselves to high standards of performance and professionalism, strive for dynamism and innovation, and support our team members' professional development."
Clean Fund,Energy,"Sausalito, CA 94965, USA",11-50,"We're committed to providing easy and affordable capital for improvements that make commercial buildings cleaner, safer, and more efficient.
Based in Sausalito, CA, CleanFund is the leading provider of long-term financing for energy efficiency, water conservation, renewable energy and seismic improvements for commercial, multifamily and other nonresidential properties in the U.S.
At CleanFund we are making positive environmental, social and financial impacts. If you are seeking an innovative and collaborative working environment with a team that is defining a new era of commercial property investing, please apply today!"
Clipper Wind,Energy,"Cedar Rapids, IA, USA",501-1000,"Energy drives our world and our economy. Wind energy - clean, renewable and cost competitive - is a practical solution. We believe sustaining cost effective wind energy production is our collective challenge.
At Clipper, we strive to support our customers and their existing Liberty 2.5MW wind turbine fleets by providing OEM knowledgeable gearbox and component part refurbishment services, as well as, maintaining a full line of wind turbine service parts. We recognize that providing reliable service incorporates the skills of a seasoned workforce, while utilizing established processes, quality standards, specialized tooling and proven test procedures.
When our services are required, our customers' success depends on us being responsive, imaginative and technically precise. We pride ourselves on the talent and knowledge developed in Cedar Rapids, Iowa since 2006 in support of Liberty turbine operations throughout North America."
Columbia Green,Buildings,"Portland, OR, USA",11-50,"Columbia Green is an Eco-Technology Manufacturer and a leader in developing green roofing solutions. We are an expert team of passionate and creative individuals who are committed to creating and selling products that better our world. Growth and innovation are not only characteristics of Columbia Green's systems, but also our employees  who are the foundation of our success. Our History Columbia Green Technologies entered the green roof market after recognizing that the available product was failing to effectively and efficiently supply a green roof system that managed stormwater runoff while maximizing plant health. Columbia Green's systems were developed by roofers and environmental engineers. Our team has gained experience in developing systems that are easy to install, drain freely, engineered for healthy plants, aesthetically pleasing, and dynamically manage stormwater runoff. Columbia Green Technologies is an American-made product supporting local economies and ensuring U.S. jobs around the country. We recognize that now and in the future green and stormwater management solutions will play a dramatic role in the resiliency of our communities. We strive to develop effective solutions to address these current and future challenges."
ConnectDER,Energy,"Philadelphia, PA, USA",11-50,The ConnectDER
Ecologic Brands,Materials & Manufacturing,"Manteca, CA, USA",11-50,"MISSION Ecologic Brands is dedicated to creating a more sustainable world through better packaging choices. JOIN THE PACKAGING REVOLUTION: Let's face it, over 70% of rigid plastic ends up in landfills and oceans where they sit for centuries. Ecologic Brands believes mountains of recycled material can be put to good use and plastic can be minimized. We design and manufacture paper bottles from the ground up, starting with what's better for the earth. Outer shells are made from recycled cardboard & newspaper and can be recycled again after use. Inner liners use minimal plastic, and post-consumer recycled plastic wherever possible. The spots and flecks on our molded fiber shells are there because we use 100% recycled materials. We like to say each bottle has its own personality. By choosing Ecologic Brands, our brand partners get an innovative green packaging solution. Consumers get a durable, unique bottle while doing good. We invite you to join us on our journey."
Enel X,Energy,"San Carlos, CA, USA",501-1000,"Enel X is a global company with strong roots in the energy field and an open strategy geared towards digitalization, sustainability, and innovation. Enel X combines the spirit of a startup with the infrastructure and expertise of a global innovator to help businesses and communities create, store, use, and share energy more efficiently, sustainably, and strategically. Enel X North America is the preferred energy solutions partner for businesses across North America. We connect large energy users to opportunities in the energy world and help them integrate the technologies and processes they need to capitalize on them. With 3,600 business partners in North America, 14,000 sites, a total of 4.5 GW of demand response capacity and intelligent software in more than 30,000 electric vehicle charging stations across North America, it is clear that many businesses join us in our belief. Enel X continues to drive the New Power Economy forward with solutions for businesses and institutions in nine core areas in North America: Demand Response Demand Management Energy Supply Management Renewable Energy Energy Storage and Microgrids Utility Bill Management Sustainability"
Enbala,Energy,"Vancouver, BC, Canada",11-50,"To survive in the distributed energy world, energy service providers and utilities must adapttheir thinking, their models and their expectations. They're going to have to seek partners that can offer them the flexibility to operate in real time and the reliability to manage the inherent complexity of their solutions. Most importantly, they need a way to simplify their core technology and capabilities to achieve clarity. With Enbala's intelligent software, you get the flexibility to adapt to changing system conditions in real time. We help energy retailers increase revenue and customer satisfaction by better managing the escalating complexities of energy assets and market opportunities. We help utilities by providing the advanced technology needed to ensure the operational reliability of the grid. Whatever your focus, Enbala's suite of solutions gives you more control with less hassle. It's energy in balance. And it's your grid, right now."
EnerG2,Energy,"Seattle, WA, USA",11-50,"enerG2, founded in 2003 in Seattle, Washington, developed its patented Carbon Technology Platform to enable large-scale production of carbon materials that surpass the limitations of the naturally occurring carbons traditionally used in energy storage applications. Polymer chemistry is the foundation for enerG2's market-leading innovations. enerG2 has developed laboratory-scale technologies and translated those technologies to commercial-scale manufacturing, all based on finely controlled and ultra-high purity polymer chemistry. Delivering these tailored carbons to energy storage device manufacturers allows our customers to increase device utilization and performance to create better cost/performance value to the end consumer."
Enlighted,Energy,"Sunnyvale, CA, USA",101-250,"Enlighted's mission is to help our customers reach long-range sustainability goals while saving money and increasing efficiency. With our first-in-class sensor and analytics platform, we provide smart energy solutions for commercial environments, saving customers up to 90% in energy costs while improving the comfort of workspaces and the efficiency of the people who work in them."
Enovix,Energy,"Fremont, CA, USA",51-100,"We're building a next-gen lithium-ion battery with our patented 3D cell architecture and high-capacity silicon anode to increase energy density and improve safety. Our patented 3D cell architecture, high-capacity silicon anode, and high-speed production process increase energy density and improve safety at an affordable price. Enovix is building a diverse team of engineers and scientists to produce the next generation of safe, high-energy batteries."
Environmental Action,Advocacy or Policy,"Boston, MA, USA",11-50,"Founded at the first Earth Day with a mission to protect the planet and all of us who live on it, we are Environmental Action. We stand up to big polluters, take on the corrupt politicians and give everyone in America a chance to be an environmentalist with simple, powerful actions. Ready to take action for the planet? You're in the right place."
ESS Inc,Energy,"Wilsonville, OR, USA",51-100,"Career Opportunities with ESS, Inc.  Join Us! ESS Inc. is a fast-growing, venture-backed, clean technology start-up, located near Portland, Oregon, an area that continues to earn high marks for livability and environmental awareness. You'll join a team that boasts decades of experience in distributed power generation and energy storage technologies, and have the chance to make your own mark on the future of renewable energy. Please review our list of current job openings below. Our Mission: At ESS Inc., our mission is to bring to market the cleanest, lowest-cost long-duration energy storage systems. We are the catalyst for a sustainable energy future. Our History: ESS Inc. was founded in Portland, Oregon in 2011 by a team with deep experience in fuel cells, electrochemistry, advanced material science and renewable energy. After five years of intensive innovation, engineering development and rigorous testing and validation, with the backing of ARPA-E and others, the company began shipping turnkey energy storage solutions that allowed companies and municipalities to control their own energy future in 2015. ESS Inc. manufactures low-cost, long-duration iron flow batteries for commercial and utility-scale energy storage applications requiring 4+ hours of flexible energy capacity. Its product, the Energy Warehouse"
ReFED,Advocacy or Policy,United States,11-50,"ReFED is a multi-stakeholder nonprofit central to the movement to reduce food waste in the United States.
ReFED was formed in 2015 and created the Roadmap to Reduce U.S. Food Waste, the first ever national economic study and action plan driven by a collaboration of over thirty business, nonprofit, foundation, and government leaders committed to tackling U.S. food waste at scale. We work to eliminate food waste in order to increase food security, spur economic growth and protect the environment by enabling action through economics, data, and capital. We are a 501(c)3 charitable organization working across the country to achieve this vision.
Our core programs include Data & Insights, providing the nation’s most comprehensive data, insights and guidance on food waste solutions, and Capital & Innovation, working to increase funding for and capacity of food waste solutions. For more information, visit refed.com."
Terra Power,Energy,"Bellevue, WA, USA",51-100,"TerraPower is a leading nuclear innovation company that strives to improve the world through nuclear energy and science.
TerraPower has emerged as an incubator and developer of ideas and technologies that offer energy independence, environmental sustainability, medical advancement and other cutting-edge opportunities.
We accept and tackle some of the world’s most difficult challenges.

Behind each of its innovations, technologies and programs, TerraPower actively works to bring together the strengths and experiences of the world’s public and private nuclear research and energy sectors. This approach takes root in our original impetus: TerraPower was founded when Bill Gates and a group of like-minded visionaries decided that the private sector needed to take action in developing advanced nuclear answers for pressing global needs."
Danimer Scientific,Materials & Manufacturing,"Bainbridge, GA, USA",51-100,"Danimer Scientific is a pioneer in creating more sustainable, more natural ways to make plastic products. For more than a decade, our renewable and sustainable biopolymers have helped create plastic products that are biodegradable and compostable. They return to nature instead of polluting our lands and waters.
Our technology can be found in a vast array of plastic end products that people use every day. Applications for our biopolymers include additives, aqueous coatings, fibers, filaments, films, hot-melt adhesives and injection-molded articles, among others. These products offer all the advantages of our bioplastics, including:

Reduced dependency on petrochemicals
Adherence to ASTM and EN requirements for biodegradability and compostability
FDA approved for food contact
Biodegradation in a fraction of the time it takes for petro-based plastic decomposition
Virtually no carbon footprint"
David Energy,Energy,"Brooklyn, NY, USA",11-50,"David Energy is creating a new kind of energy company. Traditional Retail Electricity Providers are outdated, opaque, and painful for customers to engage with. We are using software driven solutions to create an entirely new way of doing business in this space and build a category defining company. Our mission is to give energy customers greater transparency and control while creating a cheaper, cleaner, more reliable electricity grid."
C40 Cities,Advocacy or Policy,"New York, NY, USA",101-250,"Around the world, C40 Cities connects 96 of the world’s greatest cities to take bold climate action, leading the way towards a healthier and more sustainable future. Representing 700+ million citizens and one quarter of the global economy, mayors of the C40 cities are committed to delivering on the most ambitious goals of the Paris Agreement at the local level, as well as to cleaning the air we breathe."
Evergreen,Advocacy or Policy,"Washington D.C., DC, USA",11-50,"We are a group of former Gov. Jay Inslee for America staffers and supporters who came together in 2019 on a mission to elect a new president to build support for an all-out national mobilization to defeat the climate crisis and create 8 million jobs in a clean energy economy.
That mission now lives on with Evergreen.
When Gov. Inslee left the presidential race, he made his 218-page “gold standard” policy plan into an open-source document. Evergreen is taking up that promise: providing an open-source climate policy platform to inspire bold action by the next president and Congress, beginning on Day One.
Evergreen is leading the fight to put bold climate action at the top of America's agenda, implement an all-out mobilization to defeat climate change and create millions of jobs in a clean energy economy. We empower climate and community leaders, and advocate for policymakers to adopt the urgent climate policies that science demands.
The Evergreen Action Plan is a comprehensive roadmap for this national mobilization: investing in building a thriving clean-energy economy that strengthens communities, and building a future rooted in justice and economic inclusion."
Conservation Science Partners,Research & Education,"Truckee, CA, USA",11-50,"Conservation Science Partners is a 501(c)(3) nonprofit collective established to meet the analytical and research needs of diverse stakeholders in conservation projects. We connect the best minds in conservation science to solve problems in a way that’s comprehensive, flexible, and service-oriented.

CSP engages nonprofits, foundations, universities, agencies, and other partners to address critical questions in conservation biology and landscape ecology. Along with our core staff, we draw on a network of professionals from a wide range of disciplines.

OUR MISSION: To apply human ingenuity to the preservation of species, populations, and ecosystems using scientific principles, innovative approaches, and lasting partnerships with conservation practitioners."
POW (Protect Our Winters),Advocacy or Policy,"Boulder, CO, USA",11-50,"We turn passionate outdoor people into climate advocates.

Founded in 2007 by professional snowboarder Jeremy Jones, we activate outdoor athletes, creatives, scientists and responsible business leaders to advance non-partisan policies that turn a passion for the outdoors into action for climate."
Green Corps,Advocacy or Policy,"Denver, CO, USA",11-50,"The mission of Green Corps is to train organizers, provide field support for today’s critical environmental campaigns, and graduate activists who possess the skills, temperament and commitment to fight and win tomorrow’s environmental battles."
Climate Policy Initiative,Advocacy or Policy,"San Francisco, CA, USA",51-100,"With deep expertise in policy and finance, CPI works to improve the most important energy and land use practices around the world. Our mission is to help governments, businesses, and financial institutions drive growth while addressing climate risk.

Our Focus
With international expertise in finance and policy, Climate Policy Initiative’s climate finance division helps governments, businesses, and financial institutions drive economic growth while addressing climate change. The program, which is led by Dr. Barbara Buchner, works to drive low carbon, resilient investment at scale.
Our program areas form a stepping stone approach to reaching this goal:

The State of Climate Finance – CPI is the leading authority on tracking and analyzing climate finance flows. The Global Landscape of Climate Finance is the most comprehensive inventory of climate change investment available. It is a key tool for policy makers to assess the scale of finance, identify the main actors in the market, reveal investment gaps, and highlight opportunities to mobilize finance to fulfill investment potential. Our work influenced the Paris Agreement, and continues to be used by the UNFCCC. CPI’s robust methodology has also been applied at a national and sectoral level to support the governments of India, Indonesia, and Cote d’Ivoire, as well as by SEforAll to assess progress towards the UN Sustainable Development Goal to improve access to energy, and by IRENA to track renewable energy investment globally.
Effective Finance – CPI advises governments and development finance institutions on the effectiveness of their portfolios, including the UK government’s Department for International Development, the Climate Investment Funds, and the Ministry of Finance in Indonesia. CPI also works to improve public finance interventions in key regions, such as India and Indonesia. For example, in India, we have worked with the Ministry of New and Renewable Energy and Ministry of Finance to illuminate issues around the cost of capital and revise low-cost debt policies.
Transformative Finance – CPI supports the implementation of new and transformative finance solutions that mobilize sustainable investment at scale. CPI manages the Lab : a high-level group of public and private investors that identifies, develops, and supports pilots of transformative climate finance instruments. Since its start in 2014, the 26 investment vehicles incubated and launched by the Lab have collectively mobilized over $1 billion in finance for renewable energy, energy efficiency, sustainable agriculture, water, and climate resilience projects around the world. The Lab has been endorsed by the governments of India, Brazil, and the G7. CPI’s work managing the Lab was also selected in the top 11 “Best Bets” out of nearly 2000 applicants to the MacArthur 100&Change award. In addition to the Lab, CPI manages USICEF, India’s first project preparation facility for distributed renewable energy, and leads GNI+, a partnership between CPI, Baker McKenzie, and AECOM to provide governments with the best available policy, technical, financial, governance, and legal expertise to support their climate goals."
Climate Central,Advocacy or Policy,"Princeton, NJ, USA",51-100,"WHO WE ARE
An independent organization of leading scientists and journalists researching and reporting the facts about our changing climate and its impact on the public.

WHAT WE DO
Climate Central surveys and conducts scientific research on climate change and informs the public of key findings. Our scientists publish and our journalists report on climate science, energy, sea level rise.

ABOUT OUR EXPERTISE
Members of the Climate Central staff and board are among the most respected leaders in climate science. Staff members are authorities in communicating climate and weather links, sea level rise, climate."
SASB,Advocacy or Policy,"San Francisco, CA, USA",11-50,"SASB connects businesses and investors on the financial impacts of sustainability.

Financially Material: SASB’s mission is to help businesses around the world identify, manage and report on the sustainability topics that matter most to their investors.

Market Informed: SASB standards are developed based on extensive feedback from companies, investors, and other market participants as part of a transparent, publicly-documented process.

Industry Specific: SASB standards differ by industry, enabling investors and companies to compare performance from company to company within an industry."
Insight Garden Program,"Food, Agriculture, & Land Use","Berkeley, CA, USA",11-50,"Founded in 2002, IGP is a nonprofit organization that facilitates an innovative curriculum combined with vocational gardening and landscaping training so that people in prison can reconnect to self, community, and the natural world. This “inner” and “outer” gardening approach transforms lives, ends ongoing cycles of incarceration, and creates safer communities. We currently run our program in ten adult prisons and one youth facility in the state of California, as well as two programs in Indiana and one in Ohio. In addition, we recently expanded our work to include support for individuals in our programs who are being released from incarceration. For more information, please see ​www.insightgardenprogram.org​."
WEarthwhile,Advocacy or Policy,"California, USA",51-100,"WEarthwhile features stories from around the world in order to unearth and acknowledge that there are many problems orbiting around a common theme: a disconnect to nature, the destruction of natural systems, and environmental injustices. The commitment through this organization is to put emphasis on the opinions, impacts and experiences of people dealing with climate change and environmental problems. Narrative offers a powerful means to engage an audience and convey complex concepts. Stories employ the elements of successful narratives, including personalizing their story, drawing on emotions and expressing their opinions. Dialogue rather than a debate helps identify common purpose and foster constructive, evidence-based discourse."
Student PIRGs,Advocacy or Policy,"Boston, MA, USA",101-250,"Students have the power to shape the future we will inherit. We work with professional staff at colleges and universities to make sure our peers have the skills, opportunities and training they need to create a better, more sustainable future for all of us. Our chapters on 35 campuses provide the training, professional support and resources students need to tackle climate change, protect public health, revitalize our democracy, feed the hungry and more. Students have been at the forefront of social change throughout history, from civil rights, to voting rights to protecting the environment. For over 40 years we’ve helped students to get organized, mobilized and energized so they can continue to be on the cutting edge of positive change."
Environment America,Advocacy or Policy,"Denver, CO, USA",101-250,"With Environment America, you protect the places that all of us love and promote core environmental values, such as clean air to breathe, clean water to drink, and clean energy to power our lives. We’re a national network of 29 state environmental groups with members and supporters in every state. Together, we focus on timely, targeted action that wins tangible improvements in the quality of our environment and our lives."
Verra,Advocacy or Policy,"Washington, D.C., USA",11-50,"Verra develops and manages standards and frameworks to vet environmental and sustainable development efforts, build their capacity and enable funding for sustaining and scaling up their benefits. By ensuring that our standards are robust, practical and transparent, we can accurately quantify benefits and drive investment in responsible, high-performing projects and programs. We work closely with civil society, governments and the private sector to develop novel frameworks and enable results on the ground. We continue to bring our expertise in standard development and program management from our flagship voluntary carbon market program into new fields, to increase the scope and scale of our impact.
All of our programs undergo extensive stakeholder consultation and expert review, and draw from four key components: standard, independent assessment, accounting methodologies, and registry.
How We Do It

Standard

Guiding principles
High-level requirements
Processes to follow

Independent Assessment

Accreditation of auditors
Training of auditors
Oversight

Accounting Methodologies

Establishing a baseline
Monitoring requirements
Enabling various interventions

Registry

Listing of program information
Avoid double counting
Transparency of results

Standard : Establishes the core rules and requirements that must be met for any project, program or activity to be certified under the framework. Depending on the circumstances, our standards may set out higher-level requirements or, for more complex endeavors, include more detailed rules and procedures.
Independent Assessment : Ensures that projects, programs and activities meet our standards. Where standards require independent auditing or verification, we establish processes for accrediting auditors, overseeing their work, and sanctioning them if they underperform. We provide support and oversight to established accreditation programs to ensure cost-effective and high-quality independent auditing.
Accounting Methodologies : Allow for the determination of baselines (ie, what would have happened in the absence of the project, policy or program) and set out specific parameters for measuring, accounting and monitoring impacts.
Registry : Displays the performance of projects, programs or activities to allow tracking of results or, in some cases, tradable units. The final programmatic component of a typical standards framework and essential to functioning certification markets, registries provide tracking services to account holders and transparent project documentation to the public."
United Nations Environment Programme,Advocacy or Policy,"Montreal, QC, Canada",101-250,-
Conservation International,Advocacy or Policy,"Arlington, VA, USA",501-1000,"Conservation International works to spotlight and secure the critical benefits that nature provides to humanity. Since our inception, we’ve helped to protect more than 6 million square kilometers (2.3 million square miles) of land and sea across more than 70 countries. Currently with offices in 29 countries and 2,000 partners worldwide, our reach is truly global. Your contributions support our science, policy work and partnerships as we seek to solve the climate crisis and create a cleaner, healthier planet. Our Mission Building upon a strong foundation of science, partnership and field demonstration, Conservation International empowers societies to responsibly and sustainably care for nature, our global biodiversity, for the well-being of humanity. Our Vision We imagine a healthy, prosperous world in which societies are forever committed to caring for and valuing nature, for the long-term benefit of people and all life on Earth. WE NEED NATURE Nature is life: Every breath you take, every drop you drink, every bite you eat — it all comes from nature. Here’s how Conservation International works to protect it. Protecting nature for climate We protect forests that absorb and store critical carbon by working with businesses and governments to account for their impacts on forests; enabling private investment in forest protection initiatives; and helping local and indigenous communities protect forests on their lands. More about climate change Conserving our oceans We seek to double the world’s ocean area under protection while innovating new ways to sustain marine fisheries. We do this by helping countries secure and monitor their waters; enabling the inclusion of coastal habitats in climate policies; and disrupting damaging practices in the seafood sector. More about oceans Nature-based development We promote self-sustaining, conservation-based economies in areas with the most importance for people and nature. We do this by creating new conservation funding models and production models for commodities, balancing demand with protection of essential natural resources. More about sustainable development Innovation in science and finance We produce and apply science-based evidence to promote nature-based development, while working to make nature a viable and attractive investment. We do this by creating conservation tools that decision-makers need; publishing policy-relevant research; and attracting private capital for protecting nature. More about science and innovation"
"ISciences, LLC","Food, Agriculture, & Land Use","126 College Street, Suite 330, Burlington...",11-50,"ISciences is a Michigan based limited liability corporation founded in 1997 with offices in Ann Arbor MI, Burlington VT, and Washington, DC. We believe in the power of evidence-based analysis to understand vulnerabilities and achieve sustainability in a rapidly changing world. Our core strength is the ability to integrate expertise in the physical sciences, the social sciences, and information technology to solve our customers’ problems.
ISciences provides strategic, scientific and technical consulting services to a variety of government, commercial and non-profit clients in the fields of sustainable development, vulnerability assessment, remote sensing, and geospatial analysis. Our contributions influence policy decisions at some of the world’s largest companies and at the highest reaches of government. ISciences has four principal areas of practice: Water and Climate, Corporate Sustainability, Remote Sensing, and Human Security.
We believe in the power of evidence-based analysis to understand vulnerabilities and achieve sustainability in a rapidly changing world. Our contributions influence policy decisions at some of the world’s largest companies and at the highest reaches of government.  ISciences has four principal areas of practice: Water and Climate, Corporate Sustainability, Remote Sensing, and Human Security."
Spatial Informatics Group,Advocacy or Policy,United States,11-50,"Founded in 1998, Spatial Informatics Group, LLC (SIG) is a group of applied thinkers with expertise in environmental fields ranging from landscape ecology, wildlife ecology, transportation modeling, ecosystem services valuation, natural hazards, and forestry to natural resource economics. Our group combines spatial analytics with ecological, social and economic sciences to understand the effects of management and policy choices on the short and long-term stability of ecosystems. We translate data into knowledge that can be used to inform decisions.
SIG can work at all levels of a project. Depending on a client’s needs, SIG can perform discrete tasks, or manage the whole project. We work with clients to answer simple to complex monitoring and research questions using a multidisciplinary and collaborative approach supported by advanced analysis techniques. We have a demonstrated track record of delivering high-quality products within client driven timetables."
SunFunder,Energy,"San Francisco, CA, USA",11-50,"Financing for off-grid clean energy. ABOUT Over the next decade, solar energy will leapfrog the electricity grid in developing countries much like cell phones leapfrogged landlines. SunFunder is dedicated to financing this emerging solar market transformation. SunFunder is a solar energy finance business with a mission to provide financing for solar assets in emerging economies, including inventory, working capital, construction, and structured finance loans. SunFunder is a well-positioned financial intermediary that has been operating since 2012. We offer borrowers a deep solar market expertise, an efficient due diligence process and strong customer partnerships, while simultaneously providing investors with diversified, high-impact, fixed income debt offerings of emerging market solar investments."
Ride Report,Transportation,"Portland, OR, USA",11-50,"Ride Report is a solution for cities to integrate new forms of micromobility, empowering cities with tools to help them make transportation more equitable, efficient and sustainable. Based in Portland, Ride Report is a small software company accelerating the transition to a sustainable and efficient transportation system. Over 50 cities around the world are using Ride Report to help manage the emergence of new and innovative forms of transportation – particularly shared micromobility such as electric scooters and bikes. We've shown that with the right tools, cities can harness the power of micromobility to rapidly transform their transportation systems for the better."
Greenlots,Energy,"Los Angeles, CA, USA",51-100,"Greenlots is unlocking the possibilities of the new electric mobility future by delivering innovative software and services that empowers utilities, cities, communities and automakers to deploy EV charging infrastructure at scale. Greenlots is a rapidly growing provider of EV charging solutions. As an innovative fast-paced startup with customers around the globe, we have incredible job opportunities throughout the United States and Asia. A better world with clean, safe, and smarter transportation starts with you. We are looking for enthusiastic, innovative and driven individuals to help us move the industry forward. If you want to be a key member of the team delivering on the promise of an all- electric mobility future, take a look at our open positions and apply today!"
Aclima,Transportation,"San Francisco, CA, USA",101-250,"Aclima is building a global platform for local climate action that provides unprecedented transparency into emissions and their impacts. Powered by our ground-based Earth observation network of roving and stationary sensors, Aclima’s platform measures greenhouse gas emissions and air pollution with block-level resolution. Our software and advanced analytics translate and combine billions of data points with contextual data to support governments, industry, and frontline communities taking bold climate action. A Public Benefit Corporation, Aclima is committed to protecting public health, reducing climate-changing emissions, and ensuring equal access to clean air.
Aclima is one of Fast Company’s 50 Most Innovative Companies in the World and #1 in Data Science, Inc Magazine’s Best in Business, a Fast Company World Changing Idea, a WEF Technology Pioneer, and one of the top 100 companies in GovTech for 2022. Aclima is headquartered in San Francisco with offices in Portland and Brooklyn. To learn more visit https://aclima.io."
Uncharted Power,Energy,"New York, NY, USA",11-50,"Uncharted Power is an energy and data technology company that develops infrastructure solutions for communities, facilities, and Internet of Things. Uncharted Power uses renewable kinetic energy solutions to generate clean, consistent, and cost efficient power."
Blokable,Buildings,"Seattle, WA, USA",11-50,"Blokable's mission is to make housing affordable and accessible for everyone. Every blokable unit is net zero energy ready, enabling the units to perform at a high level of energy efficiency. The Blokable modular building system gives developers freedom and flexibility to build a multitude of projects, including market rate, student, senior, veterans and mixed-use housing. Bloks are connectable, stackable modules that can create residences as high as four stories."
National Wildlife Federation,Advocacy or Policy,"Reston, VA, USA",501-1000,"The National Wildlife Federation is the United States' largest private, nonprofit conservation education and advocacy organization, with over six million members and supporters, and 51 state and territorial affiliated organizations."
Woods Hole Research Center,Research & Education,"Falmouth, MA, USA",51-100,"The Woods Hole Research Center is a scientific research organization that studies climate change impacts and solutions. WHRC was named the world's top climate change think tank for 2013, 2014, 2015, and 2016 by the International Center for Climate Governance.
Located on a 10-acre campus near the village of Woods Hole, the Woods Hole Research Center (WHRC) is a private, non-profit research organization and acclaimed leader in addressing the great global environmental issues of our time through science and policy. Its core focus is to conduct high quality scientific research, and policy analysis/implementation, on environmental and economic issues. A leader in its field, WHRC has 60 staff members, and attracts some of today's top experts on global environment issues. For four years running, WHRC has been ranked the world's #1 climate change think tank by the International Center for Climate Governance.
WHRC has an annual operating budget of $11M, and FY18 is on track to be the most successful fundraising year in the organization's history. Philanthropic support is vital and allows WHRC to develop and inform worldwide policies and scientific strategies in response to climate change. The Center conducts research throughout the Amazon, the Arctic, central Africa, and North America, and collaborates with a wide variety of partners to understand the causes and impacts of climate change and to implement more science-based policies. Dollars raised support complex worldwide research, education and policy formulation in the areas of arctic warming, tropical deforestation, conservation and restoration. Approximately 40% of the Center's funding currently comes from competitive federal research grants awarded to the scientists. The Center also receives significant programmatic support from private foundations and individuals. We are an equal opportunity employer."
Deep Isolation,Energy,"Berkeley, CA, USA",11-50,"Deep Isolation, a cleantech startup, has designed a patented solution using proven drilling technology to safely dispose of the existing 80,000 tons of nuclear waste deep underground.  Founded through a passion for environmental stewardship, scientific ingenuity, and American entrepreneurship, Deep Isolation has brought together the highest caliber team of experts to become the first company of its kind to propose a public-private partnership for the disposal of nuclear waste, an untapped $120 billion worldwide market.  Deep Isolation has made significant progress on clearing regulatory hurdles and has multiple paths to licensing for its secure and profitable solution that has already received widespread support. When pioneering a viable solution to a global challenge, it takes experts with different perspectives and backgrounds to work together on a unified purpose. Whether you are an expert in nuclear energy, experienced in driving government policy and legislation, or active in working with communities engagement, a career with Deep Isolation offers a unique opportunity to pave the way in protecting all our communities with safe nuclear waste storage and disposal. Our goal is to build a team of passionate, diverse, driven, smart individuals who don't see problems; they see exciting opportunities to make change, even when faced with a challenge. If you are driven to this purpose, please inquire with us."
Software Motor Company,Energy,"San Francisco, CA, USA",51-100,"Over 45% of the world's electricity is consumed by electric motors. Today, half of that is wasted. Why? Because 98% of small motors in use today are based on 100-year-old technology: the analog motor. That's about to change. Software Motor Company has invented the first real revolution in motor technology in over a century. It's the motor that changes everything."
EtaGen,Energy,"Menlo Park, CA, USA",101-250,"Driven by its mission to advance global access to low-carbon, dispatchable energy, EtaGen has developed a new category of power generation the linear generator that delivers on-site, 24/7, fuel-flexible power at a lower cost than the electric grid.
EtaGen linear generators unlock the full potential of distributed power, using natural gas or biogas to deliver electricity to commercial and industrial buildings, campuses, smart cities and the utility grid. EtaGen will begin customer installations in 2019, targeting the $750B global electricity equipment market. Based in Menlo Park, Calif., EtaGen is backed by top-tier venture and strategic investors such as Khosla Ventures, Bill Gates, American Electric Power, and Centrica Innovations."
